publishingOrgKey,title,lat,long,nSpecimens
6ba9a8cc-513a-4a51-bf93-6f5de8040a96,Swedish Museum of Natural History,59.36891495,18.05411403,21
f9b67ad0-9c9b-11d9-b9db-b8a03c50a862,Academy of Natural Sciences,39.95788,-75.17133,1578
9c252ec3-7333-4cf8-a997-5441fcbad8dd,Cleveland Museum of Natural History,41.51104,-81.61199,10
34cc6c50-812c-11de-86fe-b8a03c50a862,Auburn University Museum,32.59325795,-85.49535671,2
605e7170-1123-11d9-8433-b8a03c50a862,United Herbaria of the University and ETH Zurich (Z+ZT),47.35889,8.56004,40
8595cd50-87c0-11dc-bb35-b8a03c50a862,Centro de Referência em Informação Ambiental,-22.77653219,-47.03078645,1
8f9a6e03-a0ee-4a60-a08f-32463f36adeb,Musée des Confluences,45.7568,4.8309,15
c0dc3c80-23f9-11dc-98d1-b8a03c50a862,UCLA-Dickey Collection (UCLA-Dickey),34.06922,-118.44031,1
32b45fb7-1992-4f30-95c8-1604a38a57fa,Muséum d'Histoire Naturelle de Bourges,47.07808776,2.394290573,1
045f6b80-812c-11de-86fd-b8a03c50a862,Alabama Museum of Natural History,33.21176399,-87.54391642,1
58520c30-bafb-11d9-8e53-b8a03c50a862,University of Vienna - Herbarium WU,48.19515,16.38142,24
99ea0c90-61e5-11dc-a64c-b8a03c50a862,Staatliches Museum für Naturkunde Stuttgart,48.8043,9.1897,1
31f13427-163d-4422-a28f-6f5d14ae2017,"World Museum, National Museums Liverpool",53.40999358,-2.981313799,1
90cc71b0-055b-11d8-b84e-b8a03c50a862,Bernice Pauahi Bishop Museum,21.33296,-157.87077,91
57254bd0-8256-11d8-b7ed-b8a03c50a862,Botanic Garden and Botanical Museum Berlin,52.45962,13.30483,186
2e4af590-37d0-11d9-8439-b8a03c50a862,Museo Argentino de Ciencias Naturales,-34.60495,-58.438,33
98e934b0-5f31-11de-b67e-b8a03c50a862,Royal Botanic Garden Edinburgh,55.96520464,-3.209348918,766
d003dd60-94fa-11da-a99f-b8a03c50a862,University of Texas-Arlington,32.72881,-97.11275,15
6f0517c4-913a-401a-95f1-144f724f424e,Museum George Sand et de la Vallee Noire,46.58132873,1.986054985,2
3b5161b7-9831-4444-9822-a60df4df107d,IRD - Institute of Research for Development,43.64549,3.86777,3
610414e0-8040-11d9-8294-b8a03c50a862,Facultad de Ciencias Naturales y Museo - U.N.L.P.,-34.9173,-57.95013,12
061b4f20-f241-11da-a328-b8a03c50a862,"Royal Botanic Gardens, Kew",51.45194,-0.3159,1679
e8eada63-4a33-44aa-b2fd-4f71efb222a0,Museu de Ciències Naturals de Barcelona,41.41143365,2.220163829,4
021121c0-f040-11d8-b22f-b8a03c50a862,SysTax,48.4,10,45
4c1a7622-ff80-419d-b1ba-2037d61f1973,"The Non-vertebrate Paleontology Laboratory, Jackson School Museum of Earth History, University of Texas at Austin",30.28485363,-97.73421763,84
10980920-6dad-11da-ad13-b8a03c50a862,Museum für Naturkunde Berlin,52.5298,13.3796,2
667644b9-7b93-4892-80c7-c4271735c515,Instituto Nacional da Mata Atlântica,-19.93571912,-40.59936749,4
4d0539cd-a2e0-4a2c-8b7d-ec6718eef764,South Australian Museum,-34.921,138.603,3
e147be40-75eb-11d9-b257-b8a03c50a862,"Museum and Institute of Zoology, Polish Academy of Sciences",52.22395,21.00897,26
a8144f37-5ff7-4137-9400-94b5b2ea4ec4,Norwegian University of Science and Technology,63.42903,10.38809,1
618d6bf6-81a4-47b0-85c0-0a6981b4e5ef,University of Arizona Insect Collection,32.23175802,-110.9501523,3
538c9023-2e18-4769-9230-f840d044406d,A.J. Cook Arthropod Research Collection,42.73098,-84.47722,3
b472a35a-6461-444a-a3d6-84e97e6636fe,"Manchester Museum, The University of Manchester",53.46631,-2.23417,19
0f0c387a-64ec-4eaa-b590-e09b0f11c94f,North Carolina State University Vascular Plant Herbarium (NCSC),35.78691,-78.67061,83
707f5e4c-ae29-4013-bc49-409e44f95243,Natural History and Science Museum of the University of Porto (MHNC-UP),41.16526545,-8.6299634,22
609d49d0-78fe-11dd-b871-b8a03c50a862,Musée Zoologique de la Ville de Strasbourg,48.58307,7.764,1
0ba220e1-77cf-487a-8d91-494167240f5d,Museum of Natural and Cultural History - University of Oregon,44.04301,-123.06808,3
fe9d23a5-5514-4d6e-b05b-d115425cd159,Naturkundemuseum im Ottoneum Kassel,51.31338342,9.4990513,3
eb126411-e092-4abc-a0b9-a2e1c98c6578,Rutger's University - Chrysler Herbarium,40.50076706,-74.44737449,19
838537fc-4aeb-4980-8b58-97fbdcd1d91a,Instituto de Pesquisas Jardim Botanico do Rio de Janeiro,-22.90354,-43.20959,122
1c8732e1-36b1-4a7c-978e-f69542768ec3,Bailey-Matthews National Shell Museum,26.43782674,-82.09271335,261
2e7df380-8356-4533-bcb3-5459e23c794e,Natural History Museum of Denmark,55.70261,12.55967,15
fee1eb85-53bb-4edb-91cc-de55f11b3cee,The University of Vermont Pringle Herbarium,44.4754,-73.19391,175
84834ee7-dc9f-4085-abee-13fa7bb47c7d,Natuurmuseum Brabant,51.55982,5.07912,22
253fc67c-c7fb-4c85-88f5-43ac6d9dc8a9,USF Water Institute,28.05476,-82.41602,305
32e82a64-c9b4-4b2f-9fbd-d446309b973f,Auckland War Memorial Museum,-36.86070051,174.777786,117
9d615537-c4d9-40fe-bf74-0e4dc9b42078,Centre for Australian National Biodiversity Research,-35.27156,149.1123,26
90fd6680-349f-11d8-aa2d-b8a03c50a862,Missouri Botanical Garden,38.61256567,-90.25907942,5821
bd561840-efdc-11d9-a329-b8a03c50a862,Fairchild Tropical Botanic Garden,25.66098,-80.28302,52
59c81290-df0e-11d8-b22e-b8a03c50a862,"Georg-August-Universität Göttingen, Albrecht-von-Haller-Institut für Pflanzenwissenschaften, Abteilung Systematische Botanik",51.5333,9.9333,113
0363cbd4-f666-455e-8e86-0bbddcf51950,CSIC-Real Jardín Botánico,40.41126126,-3.691273563,80
ead371f0-f93d-11dd-af50-b8a03c50a862,Duke University Herbarium,36.0073,-78.9206,86
a1ce99fb-e1a5-4ca9-a3e6-cb512abd4bae,University of New England,-30.49589,151.64353,51
e97090cb-7731-41c7-ac24-31a841730654,Universidade de Brasília,-15.76079,-47.87415,21
ba482b53-07ed-4ca4-8981-5396d1a8a6fc,"Botanical Garden & Museum, Natural History Museum of Denmark",55.68719363,12.57711853,18
95cb537c-74c5-4c1e-ae24-32e7ea08f380,Department of Organisms and Systems Biology. University of Oviedo,43.36180268,-5.846364032,2
e3f07310-a215-11da-beae-b8a03c50a862,"University of Gdańsk, Dept. of Plant Taxonomy and Nature Conservation",54.38559,18.61286,1
61c539d8-47e0-4b82-875f-b95aad66dcd4,University of Tennessee Herbarium,35.95116,-83.93316,16
0eabc674-8106-401e-9613-5f10164b562d,University of North Carolina at Chapel Hill Herbarium (NCU),35.90826,-79.05098,10
d16f32bb-204f-4c07-95eb-6673e90225e9,"California Polytechnic State University, San Luis Obispo",35.30224,-120.65931,2
c6e100e2-7568-4f96-aea1-ff0ea0430212,Chico State Herbarium,39.72879707,-121.8474896,1
0cbfea81-f7f6-43a7-a5bc-9b38898b505d,The Royal Botanic Gardens & Domain Trust,-33.86369,151.22077,7
6491ad8c-8e49-4bd4-a089-0ddb3bbe0890,Acadia University,45.08740899,-64.36693091,480
36488347-eceb-40ed-b687-406f3601d8cb,Kathryn Kalmbach Herbarium (Denver Botanic Gardens),39.73235,-104.95996,6
c0d9c91a-0f83-4819-bf7e-bb5e1184eb6b,Instituto Nacional de Pesquisas da Amazônia - INPA,-3.095325743,-59.98847242,8
2ebbf9e5-146f-47cf-8c1b-9d117d2860e4,"Biological Collections, California State University Northridge",34.23818,-118.52694,8
8209258a-80e8-4094-aba2-a3febe5ed45b,"Botanical Garden, University of Valencia",39.47915873,-0.358926369,9
7fadb370-f921-11dd-af50-b8a03c50a862,University of Malaga,36.65585,-4.47548,1
2437c128-bf8c-4f53-b668-da95fb2e40b7,"Instituto de Botânica, São Paulo",-23.64254944,-46.62220252,19
a8d26b9b-a0c0-42b3-a479-b575f9b60793,"Instituto Federal de Educação, Ciência e Tecnologia do Amazonas",-3.134379638,-60.01270704,1
036cdc50-e7f5-11d9-9a0e-b8a03c50a862,Museo Nacional de Costa Rica,9.9402,-84.10019,5
53e59855-7653-4d3e-87cc-162021713823,University of California Riverside,33.97019,-117.32441,1
c4cbb860-e9c7-11da-8113-b8a03c50a862,Botanical Research Institute of Texas,32.75609,-97.32747,1
d5778510-eb28-11da-8629-b8a03c50a862,PANGAEA - Publishing Network for Geoscientific and Environmental Data,53.5408,8.58375,365
a8a2b5b7-4683-4566-8e95-3fb3adaeff39,California Department of Food and Agriculture (CDA),38.47769,-121.46949,9
af00f590-cb78-11d9-b772-b8a03c50a862,University of Arkansas,36.09677,-94.17977,44
a344ee9f-f1b7-4761-be2c-58ee6d741395,Meise Botanic Garden,50.92739,4.33544,62
8e1a97a0-3ca8-11d9-8439-b8a03c50a862,Herbarium of the University of Aarhus,56.16797,10.202,2
eac88d99-9f6c-4031-8fc4-8088f0e0dfe7,Universidad Nacional de Colombia,4.63827,-74.08406,4
8a226609-56b9-4b87-a0a2-767c38edd572,Tasmanian Museum and Art Gallery,-42.88175,147.33215,8
4c0e9f60-c489-11d8-bf60-b8a03c50a862,Utah State University,41.74368,-111.80893,7
55807027-6d78-46bd-b2cb-301295ee35aa,Rancho Santa Ana Botanic Garden,34.11059979,-117.7150584,17
38a69420-bd2a-11dd-b15e-b8a03c50a862,Louisiana State University Herbarium,30.41015,-91.19531,6
b7ea834f-8d60-40ea-ab2c-5057000f0afd,Universidade Federal de Pernambuco,-8.051955879,-34.95094081,5
32859580-c30c-4367-8a8a-71f00fc9f833,Estonian University of Life Sciences,58.38888285,26.69485454,4
afa44940-5a60-11d9-bbdd-b8a03c50a862,Fundacion Miguel Lillo Provider,-26.94685,-65.28571,3
43a26bbf-466a-4335-96cc-01d0656c614a,Conservatoire et Jardin botaniques de la Ville de Genève - G,46,6,333
f7bf768e-d88d-489d-a263-dd07232bd9e4,"Dep. Biology, Univ. Autónoma de Madrid",40.54535885,-3.69507242,1
43587ad0-bafb-11d9-8e53-b8a03c50a862,"University of Graz, Institute of Plant Sciences",47.08,15.4594,7
d9699a79-4736-45c2-925c-f4033ac67d52,University of Alaska Museum of the North,64.85842,-147.84243,3
4e11d750-bafb-11d9-8e53-b8a03c50a862,"Natural History Museum, Vienna",48.20528,16.35932,211
2853c0e7-c758-4c9c-83a2-7c2d18967fb9,"Herbarium of Université de Montpellier 2, Institut de Botanique",43.61425385,3.872654191,6
e6e855d7-9775-400f-883b-c4e04e517d79,"Western Australia, Department of Biodiversity, Conservation and Attractions",-31.95365,115.85478,2
c1b1455b-18ec-4637-9e0f-18cb0524b7ed,"Dipartimento di Biologia, Università di Pisa",43.71845,10.39521,3
cc5b4b3a-87d5-47d9-8c1b-08116cc80140,Herbarium Haussknecht,50.9297,11.59001,19
f739aef0-8a5b-11d9-bc8d-b8a03c50a862,Herbarium Hamburgense,53.5833,10,5
7a6bdf66-ef5c-4a81-b731-2e328f4881eb,Instituto Multidisciplinario de Biología Vegetal - IMBIV,-31.43440392,-64.19346012,3
6868c999-a2f9-4728-87a5-e7a43a35f420,Buffalo Society of Nature Science,42.90609045,-78.84402661,77
75ed8583-8bd8-4f82-9346-75b234fe4682,Charles University - Herbarium collections & Department of Botany,50.07109,14.4212,1
a6de8f30-d931-11db-973c-b8a03c50a862,Université de Strasbourg,48.57987,7.76673,1
b6f05cf0-43ce-11d9-8439-b8a03c50a862,Instituto de Botánica Darwinion - CONICET,-23.82564,-63.23447,8
f5fc4e61-b7a0-414b-ab68-b41cb23e7fdc,Lomonosov Moscow State University,55.70441,37.5232,1
520e3c81-7de2-4ef3-9b36-11f3bdad76a9,"Dep. of Plant Biology and Ecology, Univ. Seville",37.38057032,-5.991262888,1
3124bdd8-b38c-46f0-b354-5e1d2c2cd9d2,University of South Carolina,33.99514,-81.02959,2
218f5cbc-bc3e-4a8e-84ee-9281a54cd9e3,Northern Arizona University,35.1917,-111.65339,1
7ce8aef0-9e92-11dc-8738-b8a03c50a862,Plazi.org taxonomic treatments database,NA,NA,893
c3ad790a-d426-4ac1-8e32-da61f81f0117,United States Geological Survey,NA,NA,80
192a9ab0-5565-11d8-b290-b8a03c50a862,FishBase,NA,NA,283
cc17c672-0c7d-492f-9252-c7ddacd1df78,Paleontological Research Institution,NA,NA,448
a3c228d0-3110-11db-abb8-b8a03c50a862,Bioversity International,NA,NA,114
ee6a779a-dce6-4f16-ae3d-84f495def86e,Lund Museum of Zoology,NA,NA,106
b711353c-44d7-4e8b-90c5-16fea0d247e0,Paleobiology Database,NA,NA,2528
883ee5d0-9177-423d-a636-0284e8a4de46,Lund Botanical Museum (LD),NA,NA,209
6b2f029b-7823-4b84-9c30-31ff364238fe,Landcare Research,NA,NA,10
1deb09e1-ded6-469a-a46e-f6329cb03b6a,Australia's Virtual Herbarium,NA,NA,330
